_id,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_SEPT,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,BILL_AMT_SEPT,BILL_AMT_AUG,BILL_AMT_JUL,BILL_AMT_JUN,BILL_AMT_MAY,BILL_AMT_APR,PAY_AMT_SEPT,PAY_AMT_AUG,PAY_AMT_JUL,PAY_AMT_JUN,PAY_AMT_MAY,PAY_AMT_APR,DEFAULT_PAYMENT
657165db9dc0ca06cde108fb,2759,200000,2,1,2,23,-2,-2,-2,-2,-2,-2,488,878,488,488,0,1915,878,488,488,0,1915,100,0
657165dc9dc0ca06cde12a7e,11338,120000,1,1,2,38,0,0,0,0,0,-1,52234,39644,19920,9155,14155,3867,1575,1800,1500,14000,4000,2850,0
657165dc9dc0ca06cde158a2,23150,280000,2,2,2,37,-1,-1,-1,-1,-1,-1,1876,2716,1876,1876,1876,1870,2716,1876,1876,1876,1870,10267,0
657165dc9dc0ca06cde14894,19040,30000,2,1,2,26,1,2,2,2,0,0,13890,15374,16141,15593,15908,16757,2000,1300,0,564,1100,1000,1
657165dc9dc0ca06cde12867,10803,450000,2,1,2,30,0,0,0,0,0,0,46244,32387,30976,29455,30012,20109,1599,1311,2000,1000,2000,647,1
657165db9dc0ca06cde10b0e,3290,270000,2,2,1,41,-1,2,-1,0,-1,-1,832,416,832,416,566,416,0,832,0,566,416,416,0
657165dc9dc0ca06cde1644d,26137,600000,2,1,2,36,-2,-2,-2,-2,-2,-2,53838,528,1191,11390,8680,38018,530,3000,11500,8680,38020,56700,0
657165dc9dc0ca06cde14e9e,20586,400000,1,1,2,30,0,0,0,0,0,0,162540,155319,171087,172732,156830,139816,10000,32000,18000,5000,4000,10000,0
657165db9dc0ca06cde110c8,4756,50000,1,2,2,25,-1,-1,2,0,0,0,1789,50005,48731,46882,500,0,48731,0,2102,0,0,0,0
657165dc9dc0ca06cde14b25,19697,470000,2,1,1,37,0,0,0,0,0,0,163000,160298,135683,128719,116173,104283,10047,5001,6010,4512,4012,3522,0
657165dc9dc0ca06cde15beb,23991,60000,1,2,2,26,0,0,0,0,0,0,59487,59199,59326,58938,30101,29735,2113,2500,3000,2500,1500,1100,0
657165dc9dc0ca06cde14a6c,19512,210000,2,1,2,29,0,0,0,0,0,0,199251,205143,192260,168511,144980,153706,9025,8507,5740,5128,11000,0,0
657165dc9dc0ca06cde15ff1,25021,160000,1,3,1,61,-1,-1,-1,-1,0,-1,390,390,390,780,390,390,390,390,780,0,390,390,0
657165dc9dc0ca06cde154f1,22205,350000,2,2,2,25,0,0,2,0,0,0,327915,342405,344459,351335,143291,98042,20000,9000,15076,5000,4000,4000,1
657165dc9dc0ca06cde16429,26101,260000,2,2,1,37,0,0,0,0,0,0,182249,181433,180660,179052,177072,175285,6107,6501,6005,5805,5909,6106,0
657165db9dc0ca06cde107c3,2447,80000,2,2,2,44,0,0,0,-1,-1,-1,17047,11885,8254,5144,15365,2250,1435,1350,5144,15365,2250,2690,0
657165dc9dc0ca06cde147ee,18874,80000,2,2,2,23,0,0,0,0,0,0,50456,30342,27591,28166,28330,28524,1432,1476,1441,995,1021,1138,0
657165dc9dc0ca06cde131a4,13168,210000,1,1,2,30,1,-1,2,0,0,-1,0,855,855,855,855,599,855,0,0,0,599,0,0
657165db9dc0ca06cde10584,1872,50000,2,1,2,26,0,0,0,0,0,0,41003,42032,42699,43617,44509,45420,1733,1400,1300,1271,1300,4500,0
657165dc9dc0ca06cde14b0d,19673,20000,2,2,1,34,0,0,0,0,0,-1,5185,6547,8879,10926,17536,2090,2000,3000,3000,7000,2090,0,0
657165dc9dc0ca06cde1417c,17224,20000,2,1,2,26,1,2,0,0,0,0,17040,16474,17203,18411,18929,19171,0,1300,1500,824,696,1011,0
657165dc9dc0ca06cde12cfa,11974,20000,2,2,2,23,0,0,0,0,0,0,16575,17629,18552,15562,16308,17034,1327,1250,800,1000,1000,1000,0
657165db9dc0ca06cde0ffd7,419,50000,1,2,1,48,0,0,0,0,0,0,44338,43048,35639,18753,19091,19548,3629,3332,2000,2000,2000,2500,0
657165dc9dc0ca06cde129a8,11124,80000,2,1,1,44,0,0,0,0,0,0,68677,68947,67025,64850,63658,63005,3152,2873,2380,2401,2492,2073,0
657165db9dc0ca06cde102f2,1214,80000,2,3,1,26,0,0,0,0,0,0,63677,64162,38141,38190,38586,39962,2000,1905,1350,1388,2401,1410,0
657165dc9dc0ca06cde12ec3,12431,20000,1,2,2,24,2,2,4,4,4,4,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,1
657165dc9dc0ca06cde13b3e,15626,50000,2,2,1,30,0,0,0,0,-1,-1,86750,42968,43444,40616,2008,-1500,4000,4013,5000,5000,5000,5000,0
657165db9dc0ca06cde11a2d,7161,60000,1,1,2,24,0,0,0,0,0,0,20873,22228,22691,22816,26587,22917,2000,1246,720,4780,1700,4000,0
657165dc9dc0ca06cde12ba5,11633,170000,2,2,1,43,0,0,0,0,0,0,78429,81991,81688,100841,23528,32579,5000,3000,20000,5000,10000,10000,0
657165db9dc0ca06cde107f8,2500,340000,2,1,2,26,0,0,0,0,0,0,337871,311076,156674,129651,126192,94722,11208,5000,23809,4136,3600,3169,0
657165dc9dc0ca06cde168cd,27289,360000,1,2,1,31,0,0,0,0,0,0,359491,354962,276310,196654,186281,177587,14108,11100,6992,7000,6372,5845,1
657165dc9dc0ca06cde153f5,21953,280000,2,2,1,27,0,0,2,2,2,2,109392,128447,131053,132418,134038,136939,21000,6150,5000,5300,5200,5250,0
657165dc9dc0ca06cde125b1,10109,30000,1,2,1,24,0,0,0,0,0,0,29416,30476,30386,29769,30395,30348,1540,1447,1027,1066,1288,1104,0
657165dc9dc0ca06cde172d5,29857,260000,1,3,1,39,0,0,0,0,0,0,30498,31500,31619,22020,22040,23061,1894,1403,1642,1053,2000,425,0
657165dc9dc0ca06cde1403c,16904,100000,1,3,2,45,-1,-1,0,0,0,0,10380,71944,72486,73717,74402,73187,72024,4028,6006,3018,3000,3008,0
657165dc9dc0ca06cde12821,10733,260000,2,5,2,32,0,0,0,0,0,0,169734,168207,155963,148701,141039,143838,6568,6025,5703,5123,5148,5368,1
657165db9dc0ca06cde1111d,4841,50000,1,3,1,37,3,2,2,0,0,0,30411,31130,30308,28902,29215,28963,1500,0,1016,1046,1129,869,1
657165db9dc0ca06cde10995,2913,50000,2,1,2,29,-1,-1,-1,0,-1,-1,2459,2471,6015,5625,3056,2439,2471,6015,0,3056,2439,3026,1
657165dc9dc0ca06cde14482,17998,360000,1,1,2,32,-2,-2,-2,-2,-2,-2,8971,2284,21669,-3,15866,-46,2303,21785,0,15869,0,0,0
657165db9dc0ca06cde11716,6370,80000,2,2,1,34,0,0,0,0,-2,-2,49005,49551,45930,0,0,0,2141,2150,0,0,0,0,0
657165db9dc0ca06cde10243,1039,50000,2,3,2,23,0,0,0,0,0,0,43979,33403,20879,18573,17318,17936,2000,2000,2000,1000,1000,2800,0
